"Símbolo","Seguridad","Presentación ante la SEC","Sector GICS","Sub-industria GICS","Ubicación de la sede","Fecha de incorporación","Clave de índice central","Fundada"
"BKNG","Booking Holdings","reports","Consumo Discrecional","Internet & Direct Marketing Retail","Norwalk, Connecticut","40123",1075531,"1996"
"BKR","Baker Hughes","reports","Energía","Oil & Gas Equipment & Services","Houston, Texas","42923",1701605,"2017"
"BLK","BlackRock","reports","Finanzas","Asset Management & Custody Banks","New York City, New York","40637",1364742,"1988"
"BMY","Bristol Myers Squibb","reports","Cuidado de Salud","Farmacéuticos","New York City, New York","20883",14272,"1989 (1887)"
"BR","Broadridge Financial Solutions","reports","Tecnología Informática","Procesamiento de Datos y Servicios Externalizados","Lake Success, New York","43269",1383312,"1962"
"BRK-B","Berkshire Hathaway","reports","Finanzas","Multi-Sector Holdings","Omaha, Nebraska","40225",1067983,"1839"
"BRO","Brown & Brown","reports","Finanzas","Insurance Brokers","Daytona Beach, Florida","44459",79282,"1939"
"BSX","Boston Scientific","reports","Cuidado de Salud","Health Care Equipment","Marlborough, Massachusetts","34754",885725,"1979"
"BWA","BorgWarner","reports","Consumo Discrecional","Auto Parts & Equipment","Auburn Hills, Michigan","40896",908255,"1880"
"BXP","Boston Properties","reports","Bienes Raíces","Office REITs","Boston, Massachusetts","38810",1037540,"1970"
"C","Citigroup","reports","Finanzas","Diversified Banks","New York City, New York","32294",831001,"1998"
"CAG","ConAgra Foods","reports","Productos básicos","Alimentos y Carnes Empaquetados","Chicago, Illinois","30559",23217,"1919"
"CAH","Cardinal Health","reports","Cuidado de Salud","Health Care Distributors","Dublin, Ohio","35577",721371,"1971"
"CARR","Carrier Global","reports","Industriales","Productos de Edificio","Palm Beach Gardens, Florida","43924",1783180,"2020 (1915)"
"CAT","Caterpillar Inc.","reports","Industriales","Maquinaria de Construcción y Camiones Pesados","Irving, Texas","20883",18230,"1925"
"CB","Chubb Limited","reports","Finanzas","Property & Casualty Insurance","Zurich, Switzerland","40374",896159,"1985"
"CBOE","Cboe Global Markets","reports","Finanzas","Financial Exchanges & Data","Chicago, Illinois","42795",1374310,"1973"
"CBRE","CBRE Group","reports","Bienes Raíces","Real Estate Services","Dallas, Texas","39031",1138118,"1906"
"CCI","Crown Castle","reports","Bienes Raíces","Specialized REITs","Houston, Texas","40982",1051470,"1994"
"CCL","Carnival","reports","Consumo Discrecional","Hotels, Resorts & Cruise Lines","Miami, Florida","36151",815097,"1972"
"CDAY","Ceridian","reports","Tecnología Informática","Software de Aplicación","Minneapolis, Minnesota","44459",1725057,"1992"
"CDNS","Cadence Design Systems","reports","Tecnología Informática","Software de Aplicación","San Jose, California","42996",813672,"1988"
"CDW","CDW","reports","Tecnología Informática","Distribuidores de Tecnología","Lincolnshire, Illinois","43731",1402057,"1984"
"CE","Celanese","reports","Materiales","Químicos Especiales","Irving, Texas","43458",1306830,"1918"
"CEG","Constellation Energy","reports","Utilidades","Multi-Utilities","Baltimore, Maryland","44594",1868275,"1999"
"CF","CF Industries","reports","Materiales","Fertilizantes y Químicos Agrícola","Deerfield, Illinois","39687",1324404,"1946"
"CFG","Citizens Financial Group","reports","Finanzas","Regional Banks","Providence, Rhode Island","42398",759944,"1828"
"CHD","Church & Dwight","reports","Productos básicos","Productos Domésticos","Ewing, New Jersey","42367",313927,"1847"
"CHRW","C.H. Robinson","reports","Industriales","Flete Aéreo y Logística","Eden Prairie, Minnesota","39143",1043277,"1905"
"CHTR","Charter Communications","reports","Servicios de Comunicación","Cable y Satélite","Stamford, Connecticut","42621",1091667,"1993"
"CI","Cigna","reports","Cuidado de Salud","Managed Health Care","Bloomfield, Connecticut","27941",1739940,"1982"
"CINF","Cincinnati Financial","reports","Finanzas","Property & Casualty Insurance","Fairfield, Ohio","35782",20286,"1950"
"CL","Colgate-Palmolive","reports","Productos básicos","Productos Domésticos","New York City, New York","20883",21665,"1806"
"CLX","Clorox","reports","Productos básicos","Productos Domésticos","Oakland, California","25293",21076,"1913"
"CMA","Comerica","reports","Finanzas","Diversified Banks","Dallas, Texas","35034",28412,"1849"
"CMCSA","Comcast","reports","Servicios de Comunicación","Cable y Satélite","Philadelphia, Pennsylvania","37579",1166691,"1963"
