"Fecha","LMT.Open","LMT.High","LMT.Low","LMT.Close","LMT.Volume","LMT.Adjusted"
2017-08-08,297.790008544922,300.420013427734,297.329986572266,300.100006103516,1009300,254.762344360352
2017-08-09,301.200012207031,305.540008544922,301,305.220001220703,1750600,259.108795166016
2017-08-10,306.549987792969,307.100006103516,303,303.25,1339600,257.436401367188
2017-08-11,302.839996337891,306.450012207031,302.579986572266,303.75,987800,257.860870361328
2017-08-14,305.450012207031,308.059997558594,304.260009765625,307.579986572266,1203000,261.112182617188
2017-08-15,307.970001220703,308.480010986328,305.519989013672,306.200012207031,1020300,259.940795898438
2017-08-16,305.880004882812,306.809997558594,305.350006103516,305.799987792969,1035600,259.601135253906
2017-08-17,305.260009765625,305.649993896484,301.269989013672,301.420013427734,1067000,255.882904052734
2017-08-18,300.869995117188,301.260009765625,298.820007324219,299.200012207031,1204700,253.998321533203
2017-08-21,300,302.230010986328,297.769989013672,301.880004882812,962200,256.273406982422
2017-08-22,303.510009765625,305.480010986328,302.970001220703,304.799987792969,960400,258.752166748047
2017-08-23,304,304.559997558594,302.529998779297,302.839996337891,697100,257.08837890625
2017-08-24,303.510009765625,304.049987792969,301.25,302.600006103516,574400,256.884613037109
2017-08-25,303.920013427734,304.679992675781,302.709991455078,302.799987792969,571100,257.054321289062
2017-08-28,303.730010986328,303.850006103516,302.510009765625,303.609985351562,830400,257.742004394531
2017-08-29,304.5,308.179992675781,304.5,308.140014648438,1277600,261.587646484375
2017-08-30,306.420013427734,307.220001220703,305.5,306.299987792969,1273000,261.570495605469
2017-08-31,306.859985351562,306.859985351562,304.970001220703,305.390014648438,982400,260.793487548828
2017-09-01,305.959991455078,306.339996337891,302.190002441406,302.190002441406,1188800,258.060760498047
2017-09-05,304.450012207031,304.529998779297,301.910003662109,302.200012207031,1387200,258.0693359375
2017-09-06,303.410003662109,303.940002441406,301.309997558594,301.450012207031,1217400,257.428863525391
2017-09-07,301.450012207031,302.769989013672,300.239990234375,302.350006103516,923400,258.197418212891
2017-09-08,301.519989013672,303.660003662109,301.519989013672,302.899993896484,1161100,258.667083740234
2017-09-11,303.700012207031,304.589996337891,302.209991455078,304.480010986328,917600,260.016326904297
2017-09-12,304.450012207031,304.760009765625,302.910003662109,303.730010986328,640800,259.375885009766
2017-09-13,303.059997558594,303.059997558594,300.109985351562,300.200012207031,1143100,256.361419677734
2017-09-14,300.200012207031,301.390014648438,298.399993896484,301.339996337891,1507600,257.334899902344
2017-09-15,302.339996337891,303.350006103516,301.029998779297,302.299987792969,2025900,258.154632568359
2017-09-18,302.859985351562,304.329986572266,302.399993896484,303.799987792969,1005500,259.435668945312
2017-09-19,304.290008544922,307.260009765625,303.660003662109,305.649993896484,1365100,261.015533447266
2017-09-20,305.359985351562,307.959991455078,305.239990234375,307.899993896484,1265000,262.936920166016
2017-09-21,308.100006103516,308.910003662109,307.390014648438,308.010009765625,875600,263.030822753906
2017-09-22,308.649993896484,311.359985351562,308.260009765625,308.540008544922,1018600,263.483459472656
2017-09-25,308.480010986328,308.970001220703,304.709991455078,306.850006103516,1222400,262.040283203125
2017-09-26,308.549987792969,310.690002441406,308.209991455078,309.579986572266,1025800,264.371551513672
2017-09-27,309.700012207031,311.320007324219,309.010009765625,310.130004882812,973300,264.841339111328
2017-09-28,309.010009765625,310.369995117188,306.579986572266,309.130004882812,824200,263.987274169922
2017-09-29,308.950012207031,310.359985351562,308.690002441406,310.290008544922,911500,264.977844238281
2017-10-02,310.790008544922,311.380004882812,309.269989013672,311.329986572266,1007800,265.865997314453
2017-10-03,311.380004882812,314.019989013672,311.299987792969,312.859985351562,803000,267.172576904297
2017-10-04,313.279998779297,314.100006103516,312.459991455078,313.019989013672,903700,267.309204101562
2017-10-05,312.820007324219,315.290008544922,312.640014648438,314.579986572266,950400,268.641418457031
2017-10-06,315,316.459991455078,314.279998779297,316.459991455078,857700,270.246887207031
2017-10-09,316.619995117188,318.339996337891,315.5,317.299987792969,880100,270.964111328125
2017-10-10,318.320007324219,318.320007324219,316.220001220703,317.709991455078,941500,271.314331054688
2017-10-11,317.649993896484,318.799987792969,317.049987792969,318.589996337891,706300,272.065856933594
2017-10-12,318.350006103516,321.559997558594,318.279998779297,321.149993896484,867700,274.251983642578
2017-10-13,321.619995117188,322.190002441406,319.140014648438,319.390014648438,1095500,272.748992919922
